序号,交易所,品种,交易代码,交易所手续费,日内单双边,平今仓特殊手续费,涨跌停(正常),涨跌停（第一板）,涨跌停（第二板）
1,上海,白银,AG,0.50%%,双边,,9,12,14
2,上海,铝,AL,3,双边,,7,10,12
3,上海,黄金,AU,10,单边,,7,10,12
4,上海,石油沥青,BU ,1.00%%,双边,,10,13,15
5,上海,铜,CU,0.50%%,双边,1.00%%,7,10,12
6,上海,燃料油,FU,0.10%%,单边,,13,16,18
7,上海,热轧卷板,HC,1.00%%,双边,,11,14,16
8,上海,镍,NI,3,双边,,10,13,15
9,上海,铅,PB,0.40%%,单边,,7,10,12
10,上海,螺纹钢,RB,1.00%%,双边,,11,14,16
11,上海,天然橡胶,RU,3.00%%,单边,,8,11,13
12,上海,锡,SN,3,双边,,12,15,17
13,上海,线材,WR,0.40%%,单边,,11,14,16
14,上海,锌,ZN,3,单边,,7,10,12
15,上海,纸浆,SP,0.50%%,单边,,8,11,13
16,上海,不锈钢,SS,2,单边,,8,11,13
17,大连,黄大豆1,A ,2,双边,,6,9,11
18,大连,黄豆2号,B,1,双边,,6,9,11
19,大连,细木工板,BB,1.00%%,单边,,10000000,10000000,10000000
20,大连,玉米,C,2,双边,,6,9,11
21,大连,玉米淀粉,CS,1.5,双边,,5,8,10
22,大连,细工木板,BB,1.00%%,双边,,5,8,10
23,大连,中密度纤维板,FB,1.00%%,双边,,5,8,10
24,大连,铁矿石,I,1.00%%,双边,,11,14,16
25,大连,冶金焦炭,J,1.00%%,双边,1.40%%,15,18,20
26,大连,鸡蛋,JD,1.50%%,双边,,6,9,11
27,大连,焦煤,JM,1.00%%,双边,3.00%%,15,18,20
28,大连,LLDP,L,1,双边,,6,9,11
29,大连,豆粕,M,1.5,双边,,6,9,11
30,大连,豆粕期权,M,1,双边,,6,9,11
31,大连,棕榈油,P,2.5,双边,,7,10,12
32,大连,聚丙烯,PP,1,双边,,6,9,11
33,大连,PVC,V,1,双边,,6,9,11
34,大连,豆油,Y,2.5,双边,,6,9,11
35,大连,乙二醇,EG,3,双边,,7,10,12
36,大连,粳米,RR,1,双边,,5,8,10
37,大连,苯乙烯,EB,3,双边,,7,10,12
38,大连,液化石油气,PG,6,双边,,7,10,12
39,大连,生猪,LH,1.00%%,双边,2.00%%,8,11,13
40,郑州,苹果,AP,5,双边,20,9,12,15
41,郑州,棉花,CF,4.3,单边,,6,9,12
42,郑州,棉纱,CY,4,单边,,6,9,12
43,郑州,玻璃,FG,6,双边,,8,11,14
44,郑州,粳稻谷,JR,3,双边,,7,10,13
45,郑州,晚籼稻,LR,3,双边,,7,10,13
46,郑州,甲醇,MA,1.00%%,双边,,7,10,13
47,郑州,菜籽油,OI,2,双边,,8,11,14
48,郑州,普通小麦,PM,30,双边,,7,10,13
49,郑州,早籼稻,RI,2.5,双边,,7,10,13
50,郑州,菜籽粕,RM,1.5,双边,,8,11,14
51,郑州,油菜籽,RS,2,双边,,10,13,16
52,郑州,硅铁,SF,3,单边,,10,13,16
53,郑州,锰硅,SM,3,单边,,10,13,16
54,郑州,白砂糖,SR,3,单边,,8,11,14
55,郑州,白糖期权,SR,3,双边,,8,11,14
56,郑州,PTA,TA,3,单边,,6,9,12
57,郑州,强麦,WH,30,双边,,7,10,13
58,郑州,新动力煤,ZC,150,双边,,10,13,16
59,郑州,尿素,UR,1.00%%,双边,,7,10,13
60,郑州,短纤,PF,3,双边,,7,10,13
61,郑州,花生,PK,4,双边,,7,10,13
62,郑州,纯碱,SA,3.5,双边,,8,11,14
63,中金所,中证500,IC,0.23%%,双边,2.30%%,10,10,10000000
64,中金所,沪深300,IF,0.23%%,双边,2.30%%,10,10,10000000
65,中金所,上证50,IH,0.23%%,双边,2.30%%,10,10,10000000
66,中金所,中证1000,IM,0.23%%,双边,2.30%%,10,10,10000000
67,中金所,10年国债,T,3,单边,,2,10000000,10000000
68,中金所,5年国债,TF,3,单边,,1.2,10000000,10000000
69,中金所,30年国债,TL,3,单边,,10000000,10000000,10000000
70,中金所,2年国债,TS,3,单边,,0.5,10000000,10000000
71,能源,国际铜,BC,0.10%%,单边,,7,10,12
72,能源,低硫燃料油,LU,0.10%%,双边,,10,13,15
73,能源,20号胶,NR,0.20%%,单边,,8,11,13
74,能源,原油,SC,20,单边,,13,16,18
